drug_name,num_prescriber,total_cost
VIMOVO,294,1.0185258790000007E7
TRULICITY,775,1.0170659430000003E7
ACITRETIN,615,1.0108155960000012E7
MORPHINE SULFATE,14085,1.0076321239999969E7
CLOZARIL,418,1.0020755389999999E7
RYTARY,392,9931453.569999998
PHENOBARBITAL,13489,9903875.390000006
KALBITOR,12,9856934.98
AMMONIUM LACTATE,9121,9738354.940000024
AZATHIOPRINE,7795,9737396.480000006
LOVAZA,1815,9736310.660000017
CLINDAMYCIN PHOSPHATE,5176,9728481.789999982
COLESTIPOL HCL,4806,9716456.069999984
RAVICTI,11,9710989.709999999
FORADIL,1779,9694130.119999995
DIPHENOXYLATE-ATROPINE,14965,9434371.570000011
CILOSTAZOL,16728,9419494.020000013
DILANTIN,6071,9396051.149999987
CARISOPRODOL,17273,9303491.889999993
DORZOLAMIDE HCL,8354,9168788.12999998
CYMBALTA,2021,9141893.769999985
ATELVIA,1301,9129359.699999984
ONDANSETRON ODT,18981,9116207.689999977
TEGRETOL XR,2651,9077722.829999987
SAMSCA,87,9075591.100000003
FETZIMA,1627,9037657.299999988
KLOR-CON M10,17036,8989885.930000018
BARACLUDE,339,8975734.619999997
BUPROPION HCL,12314,8955106.03000001
HYDROCORTISONE,17151,8902269.220000014
HALOPERIDOL DECANOATE,3631,8876370.319999985
LAMIVUDINE,1529,8851585.040000007
NORTRIPTYLINE HCL,26892,8847782.549999971
DESOXIMETASONE,2560,8832971.009999983
APTIOM,382,8740692.04000001
OCTAGAM,35,8698648.33
PROGRAF,497,8672913.81
TROSPIUM CHLORIDE,3296,8664634.999999978
BISOPROLOL FUMARATE,10005,8611328.800000012
GRALISE,966,8565979.400000002
EDURANT,427,8488068.089999998
ERYTHROMYCIN,8645,8445966.630000005
ICLUSIG,35,8340206.65
DEPAKOTE ER,1112,8320328.890000004
TAMOXIFEN CITRATE,6903,8271890.46
SOLIRIS,17,8257860.57
ZYPREXA,626,8239742.269999998
NYSTOP,9444,8236421.840000019
NITROGLYCERIN PATCH,10787,8226264.960000006
BALSALAZIDE DISODIUM,2184,8218346.660000002
CALCITONIN-SALMON,5970,8195256.920000004
SOMAVERT,55,8136685.780000001
DYMISTA,1916,8071328.759999999
REVATIO,123,8069724.260000001
PENNSAID,189,8034610.729999998
GLASSIA,54,8030947.37
GATIFLOXACIN,975,7879275.029999989
PYRIDOSTIGMINE BROMIDE,3579,7798877.720000026
FLECTOR,873,7719871.250000015
CANASA,566,7716271.3099999875
TELMISARTAN-HYDROCHLOROTHIAZID,3664,7679886.089999985
LUMIZYME,10,7673705.06
PROMETHAZINE HCL,24781,7633057.40999998
APIDRA SOLOSTAR,749,7622812.02
ACTONEL,1652,7620928.660000003
TESTOSTERONE CYPIONATE,7042,7614962.970000004
DILTIAZEM HCL,17813,7554612.449999986
TRAMADOL HCL-ACETAMINOPHEN,11292,7535503.009999973
SEROQUEL,826,7504278.489999999
GLYBURIDE,15762,7503529.06000002
METAXALONE,1840,7498333.38999999
AMLODIPINE-ATORVASTATIN,1998,7458282.619999998
DESMOPRESSIN ACETATE,3986,7442859.40999999
BOTOX,234,7442397.420000001
MEGESTROL ACETATE,9913,7417284.339999984
TROSPIUM CHLORIDE ER,1643,7404164.559999994
LIPITOR,1580,7190658.369999997
METHAZOLAMIDE,856,7190245.419999999
EPLERENONE,2853,7163495.750000028
ROPINIROLE ER,1362,7161142.239999998
ASPIRIN-DIPYRIDAMOLE ER,1412,7145273.429999995
DICYCLOMINE HCL,28490,7131465.930000022
EXFORGE,1683,7125119.850000005
JARDIANCE,844,7091566.419999993
BETHANECHOL CHLORIDE,4210,7081194.6700000055
HYDROCORTISONE VALERATE,1976,7039486.560000006
TRANSDERM-SCOP,2546,7020945.190000002
CLOZAPINE ODT,555,7008435.969999993
THEOPHYLLINE ANHYDROUS,10070,6978435.11
FELBAMATE,577,6949860.829999992
OXYMORPHONE HCL,1170,6944541.169999994
LIOTHYRONINE SODIUM,6815,6938631.439999974
DEPAKOTE,895,6929785.0200000005
CEVIMELINE HCL,1431,6902893.20999999
EXTAVIA,112,6885863.1899999995
CEREZYME,18,6861411.799999999
TRILEPTAL,506,6831799.5499999905
NEVIRAPINE ER,472,6769596.930000002
ATENOLOL-CHLORTHALIDONE,13008,6670116.059999958
CHENODAL,9,6666459.47
GAMMAPLEX,36,6660486.51
GLUCAGON EMERGENCY KIT,1125,6630786.410000001
LETROZOLE,6408,6605065.890000004
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,290,6546780.819999999
METHOCARBAMOL,14992,6512241.959999991
CLOTRIMAZOLE,7652,6499282.760000015
ZONEGRAN,254,6478256.829999998
ATIVAN,237,6467780.510000001
PROGESTERONE,3619,6440179.590000005
VORICONAZOLE,297,6424249.499999998
CAYSTON,55,6368187.770000001
PRAZOSIN HCL,8683,6367815.989999971
PROVENTIL HFA,4294,6308900.2799999835
HERCEPTIN,63,6284789.050000002
CEFTRIAXONE,4129,6256779.110000002
HETLIOZ,52,6244679.339999999
FABRAZYME,14,6238824.46
RELPAX,904,6232584.030000004
BUPRENORPHINE HCL,1557,6200338.119999998
OMEPRAZOLE-SODIUM BICARBONATE,660,6171363.370000001
HALOBETASOL PROPIONATE,1493,6155704.079999998
PULMICORT FLEXHALER,1514,6128312.940000007
AMLODIPINE-VALSARTAN-HCTZ,1843,6126838.730000004
HUMALOG MIX 50-50,376,6092670.170000001
FLOVENT DISKUS,1646,6004417.239999994
PROCTOZONE-HC,3940,5997992.200000006
EFFEXOR XR,996,5970831.050000001
FLUOCINOLONE ACETONIDE,1902,5969810.929999996
SIROLIMUS,376,5964385.040000002
EMTRIVA,613,5960597.209999999
DILT-XR,8132,5941632.389999961
LEUKINE,22,5908775.2
TRAMADOL HCL ER,2595,5874763.559999991
DICLOFENAC POTASSIUM,4405,5868436.469999981
XOPENEX HFA,4391,5861432.069999995
PROPAFENONE HCL,5471,5858201.00999999
HYDROXYUREA,6121,5830684.139999994
PROTONIX,1284,5771162.359999996
RABEPRAZOLE SODIUM,4596,5729171.869999971
DOXYCYCLINE MONOHYDRATE,9568,5727683.490000006
TYKERB,88,5714367.370000004
DUEXIS,135,5711595.939999998
MESTINON,323,5706355.560000004
TOBRADEX,1158,5635809.370000003
MYCOPHENOLIC ACID,414,5628029.690000004
SPIRONOLACTONE-HCTZ,4714,5612384.1
LOVENOX,440,5591129.999999997
CARBIDOPA,296,5588645.949999996
ALCOHOL PREP PADS,5700,5584660.7999999905
CANDESARTAN CILEXETIL,2995,5562119.740000001
DIGITEK,6715,5561458.970000013
KORLYM,18,5535004.63
LENVIMA,21,5502232.43
KLOR-CON 10,10365,5497316.480000003
JANTOVEN,14805,5477337.760000006
CLINDAMYCIN HCL,30471,5459236.689999931
ALFUZOSIN HCL ER,7357,5452616.119999987
GLUCAGEN,927,5406716.4700000025
BEXAROTENE,12,5369091.16
EXALGO,218,5364870.030000003
METOCLOPRAMIDE HCL,24273,5362425.270000056
VELCADE,45,5297679.54
EDECRIN,340,5278686.070000003
FLUPHENAZINE DECANOATE,1378,5252976.730000004
BICALUTAMIDE,5499,5244204.840000003
TRETINOIN,1720,5234266.500000008
INVOKAMET,625,5234196.559999997
TROKENDI XR,336,5202362.279999996
ESTRING,859,5178113.510000003
CUPRIMINE,38,5172169.890000001
TESTOSTERONE,802,5157731.930000002
THIOLA,51,5144836.149999998
PLAVIX,1541,5095848.209999997
MINOCYCLINE HCL,7992,5091508.830000036
ZONISAMIDE,5518,5090416.429999992
XGEVA,122,5027868.920000001
CELLCEPT,221,5003480.269999998
RISPERIDONE ODT,1515,4997877.230000001
NISOLDIPINE,1365,4994475.70999999
NEOMYCIN-POLYMYXIN-DEXAMETH,7232,4964152.609999993
ZIOPTAN,1167,4924984.409999999
SILENOR,806,4892988.599999994
ACIPHEX,617,4846034.370000003
PROVIGIL,181,4830768.07
INVEGA TRINZA,60,4830516.7299999995
GLATOPA,68,4796964.649999999
DEXTROAMPHETAMINE SULFATE ER,1104,4737852.100000007
FELBATOL,146,4735207.810000001
SULFASALAZINE,5878,4708528.39000001
IMIQUIMOD,1528,4702579.299999995
K-TAB ER,3000,4645232.579999994
ACARBOSE,3191,4596507.570000011
LEXAPRO,1250,4594160.069999992
NORDITROPIN FLEXPRO,132,4593836.699999999
PHENYTOIN,5532,4583522.120000002
TANZEUM,577,4561303.720000003
BIDIL,962,4558914.35
CLARITHROMYCIN,4385,4556001.509999999
RELISTOR,256,4552445.519999999
EGRIFTA,63,4550949.649999999
FYCOMPA,264,4547733.62
VIRACEPT,292,4543827.109999999
PROCYSBI,5,4526239.7299999995
KADIAN,176,4465206.31
IRBESARTAN-HYDROCHLOROTHIAZIDE,5840,4453149.690000015
NOVOFINE 32,4031,4449023.769999989
VPRIV,8,4442830.96
PERMETHRIN,1988,4427960.2599999895
NAGLAZYME,4,4426812.12
BOOSTRIX TDAP,1457,4414756.459999999
TEGRETOL,1237,4403165.230000001
MYSOLINE,118,4377849.839999998
GEODON,417,4369377.060000002
VALPROIC ACID,6848,4355330.379999994
LOPERAMIDE,8186,4353420.760000003
GENTAMICIN SULFATE,5063,4305631.000000009
CHLORHEXIDINE GLUCONATE,21025,4273089.860000009
UCERIS,189,4269122.050000001
FLUVOXAMINE MALEATE,6271,4240033.169999997
NOVOFINE AUTOCOVER,2407,4238207.909999999
OLOPATADINE HCL,872,4183796.0200000037
BISOPROLOL-HYDROCHLOROTHIAZIDE,14010,4167947.3799999957
ALREX,696,4158545.8599999934
BEPREVE,475,4126584.9699999974
LITHIUM CARBONATE ER,7745,4121188.230000012
PIROXICAM,2315,4097551.7699999977
ELIDEL,480,4076099.33
SYPRINE,12,4057678.8900000006
LITHIUM CARBONATE,14503,4055171.7499999898
DUTASTERIDE,1011,4041795.8899999964
ZYPREXA RELPREVV,104,4020270.820000001
MERCAPTOPURINE,1659,3996260.1899999944
HYDROXYZINE PAMOATE,10786,3987163.5399999837
VERAPAMIL HCL,7814,3982109.779999975
FLUDROCORTISONE ACETATE,9165,3981954.2799999826
APIDRA,554,3939455.0
BROMFENAC SODIUM,700,3915351.8200000026
PENTOXIFYLLINE,7277,3908003.5600000015
TIAGABINE HCL,576,3897629.159999999
NEURONTIN,539,3852757.830000002
SYMLINPEN 120,186,3832050.4700000007
VALCHLOR,32,3827948.790000001
BROMOCRIPTINE MESYLATE,1061,3801820.5300000007
RAPAMUNE,163,3799678.76
EDARBYCLOR,993,3789045.020000001
ZYKADIA,28,3785207.1199999996
MOMETASONE FUROATE,6105,3781164.1099999864
PROCTOSOL-HC,3300,3776453.7299999986
EDARBI,1080,3736586.0300000017
LEVETIRACETAM ER,1864,3712619.7899999926
TRELSTAR,54,3709283.24
ZYFLO CR,79,3707535.049999999
FERRIPROX,20,3702345.48
DICLOFENAC SODIUM-MISOPROSTOL,1484,3698596.0299999993
EVISTA,1012,3696905.459999993
JUBLIA,361,3686212.1400000006
ZELBORAF,35,3681956.7899999986
ZAFIRLUKAST,2281,3677746.229999993
DEXAMETHASONE,10098,3656131.6000000057
BACITRACIN,1595,3607469.4000000022
EMEND,248,3595316.8399999994
DOXERCALCIFEROL,235,3594353.6300000027
RIZATRIPTAN,5049,3587759.1000000006
BROVANA,423,3585227.0099999993
PROZAC,435,3572974.23
THIOTHIXENE,2443,3568640.7399999993
MYALEPT,4,3544316.6199999996
CAPRELSA,23,3487462.6999999993
RILUZOLE,372,3483481.530000001
MYFORTIC,187,3480887.0199999996
HALOPERIDOL DECANOATE 100,1514,3457263.1499999966
RISPERDAL,324,3431410.3100000005
MOXIFLOXACIN HCL,1555,3420664.1899999985
SOMATULINE DEPOT,52,3396312.7299999995
TRIFLUOPERAZINE HCL,2472,3389879.859999999
NILANDRON,38,3389651.24
BENLYSTA,58,3370371.6799999997
SELEGILINE HCL,1235,3366240.6400000025
BETAMETHASONE VALERATE,2933,3352585.8700000076
FLUOCINOLONE ACETONIDE OIL,849,3340548.379999999
TAZTIA XT,5568,3339918.189999996
EVOTAZ,116,3323204.779999999
DEMECLOCYCLINE HCL,605,3317454.599999998
SILVER SULFADIAZINE,4992,3302612.499999997
METHIMAZOLE,9066,3270971.4899999946
ADACEL TDAP,2035,3241686.920000002
KETOPROFEN,362,3236060.5500000017
ZORTRESS,75,3230917.9299999997
INDAPAMIDE,8003,3209840.399999995
ZEGERID,164,3204173.1099999994
GENOTROPIN,95,3191472.5899999994
OXAPROZIN,1140,3174218.7900000047
CABERGOLINE,1114,3160880.2400000035
COSENTYX PEN (2 PENS),31,3137415.87
ISTALOL,579,3124237.3800000004
CLORAZEPATE DIPOTASSIUM,6310,3106817.979999995
MEDROXYPROGESTERONE ACETATE,7947,3103757.9800000126
FINACEA,658,3098822.399999995
AMBIEN,519,3095303.0800000005
DARAPRIM,30,3057076.7099999995
TESTIM,350,3046273.53
NYAMYC,3356,3030337.9599999944
GLYCOPYRROLATE,2851,3025375.769999999
AZASITE,587,3015144.0100000016
EYLEA,43,3011603.4400000004
DIOVAN HCT,855,2956863.7399999993
LOTRONEX,92,2950020.71
COSOPT PF,839,2910990.7400000016
NAFTIN,295,2877306.4600000004
PEG 3350-ELECTROLYTE,3858,2875763.5899999947
FLUPHENAZINE HCL,5550,2872066.5499999975
HEPARIN SODIUM,1598,2867270.9499999955
ABSTRAL,17,2862380.3500000006
ALIMTA,31,2861537.83
SULFASALAZINE DR,1645,2859461.2199999965
PALIPERIDONE ER,223,2856978.1700000004
CEFPODOXIME PROXETIL,1432,2855777.779999997
LUNESTA,558,2851096.220000001
ZYVOX,59,2797576.7300000004
MEROPENEM,729,2783123.19
SANDOSTATIN LAR,34,2780480.6900000004
GLYBURIDE-METFORMIN HCL,5985,2774012.8399999943
GAVILYTE-N,2676,2773805.6600000127
DESIPRAMINE HCL,1856,2761858.2400000044
FENTANYL CITRATE,99,2761238.6900000004
BETOPTIC S,493,2750653.130000002
XALATAN,918,2744147.0300000035
CARBATROL,748,2726440.7999999975
DILTIAZEM 12HR ER,1661,2692902.3600000064
UNIFINE PENTIPS,4793,2692262.090000004
IMIPRAMINE HCL,6427,2664608.100000012
REGRANEX,114,2664321.7700000005
ITRACONAZOLE,325,2616917.8200000017
CYCLOSPORINE MODIFIED,815,2603371.8700000006
XANAX,566,2589763.6299999994
TASMAR,21,2587916.2699999996
SURE COMFORT,3628,2581709.350000007
DEXTROAMPHETAMINE SULFATE,976,2580665.5000000037
TIMOPTIC OCUDOSE,268,2573961.439999998
MISOPROSTOL,2088,2559487.800000002
HORIZANT,323,2558564.0
AMBIEN CR,524,2551115.9900000026
OLANZAPINE-FLUOXETINE HCL,427,2527107.9600000004
MIRAPEX ER,250,2516390.8000000003
HYDROCODONE-IBUPROFEN,3202,2509214.7699999968
EMSAM,134,2503925.8000000007
MEGACE ES,150,2501444.859999999
ALCOHOL PADS,2430,2495634.9599999995
INVIRASE,144,2494640.340000001
TETRABENAZINE,19,2491115.3499999996
RAYOS,58,2469628.82
SODIUM CHLORIDE,4142,2467624.500000009
ETODOLAC ER,863,2467062.6700000037
PERFOROMIST,262,2459922.810000001
FRAGMIN,92,2456456.6599999997
NAPROXEN SODIUM,3199,2453103.039999999
GABITRIL,263,2440883.4700000007
FUZEON,56,2432894.3600000003
AXIRON,255,2429672.1799999992
INTRALIPID,282,2429057.2899999986
SANDOSTATIN LAR DEPOT,31,2406503.03
CEFEPIME HCL,739,2399543.439999999
OXANDROLONE,140,2385034.13
DIHYDROERGOTAMINE MESYLATE,63,2384861.250000001
HUMATROPE,91,2374956.4099999997
RISEDRONATE SODIUM DR,479,2369618.2800000035
CARIMUNE NF NANOFILTERED,17,2352522.25
SANCUSO,98,2342159.81
AURYXIA,126,2330408.120000001
ANAGRELIDE HCL,928,2328651.939999999
PENICILLIN V POTASSIUM,10303,2323805.839999992
SINGULAIR,773,2313799.0600000024
VIVELLE-DOT,1069,2293351.4900000044
OSENI,311,2272639.2000000016
VIVITROL,91,2271859.8099999996
ARMOUR THYROID,3873,2257099.380000002
ADDERALL XR,444,2255584.59
ORACEA,211,2249678.170000001
PICATO,160,2245518.8499999996
CARDIZEM CD,140,2228201.11
RIBAVIRIN,485,2225032.0200000005
ANDRODERM,382,2215913.51
THIORIDAZINE HCL,2581,2209789.009999998
E.E.S. 200,146,2206095.5099999993
TRIMETHOPRIM,4552,2189346.690000001
FOSINOPRIL SODIUM,8493,2184752.24
RUCONEST,2,2175512.46
TEFLARO,84,2164493.95
KINERET,45,2138748.68
TRIAZOLAM,2915,2127014.299999999
LOXAPINE,2013,2121126.839999999
NORVASC,963,2111665.340000001
MIACALCIN,28,2085970.44
VERAPAMIL ER PM,1755,2079935.379999998
KYNAMRO,6,2077702.3800000001
ALVESCO,352,2044722.4500000002
OMNITROPE,97,2024561.2600000002
NALTREXONE HCL,1793,2017350.01
FLUVOXAMINE MALEATE ER,378,2007198.5099999986
LAMIVUDINE HBV,339,2000750.4099999997
KLOR-CON 8,3227,1999809.0599999984
OXAZEPAM,2072,1984271.3400000022
ALDURAZYME,2,1980580.26
VGO 40,317,1958226.9399999997
MEXILETINE HCL,969,1938741.0800000022
NPLATE,15,1921076.82
OPDIVO,13,1919734.6
ULTICARE,2404,1914875.0800000005
LEVALBUTEROL HCL,709,1914624.1999999995
TIROSINT,694,1913930.6799999988
BIVIGAM,10,1892955.73
ADEFOVIR DIPIVOXIL,164,1876058.1699999997
PROCHLORPERAZINE MALEATE,9406,1859574.1900000037
LAMICTAL ODT,173,1836309.2499999984
SULINDAC,4097,1830627.8100000026
TYGACIL,92,1825288.1300000004
GAVILYTE-G,2969,1824898.8500000006
MINOXIDIL,5070,1819054.1499999932
ZALEPLON,3245,1818246.9600000004
FASLODEX,59,1805468.87
DANTROLENE SODIUM,1045,1801367.9499999993
ZAVESCA,6,1792244.11
TRAVOPROST,591,1791206.4000000006
AUTOSHIELD DUO PEN NEEDLE,1352,1762085.799999999
ZYPREXA ZYDIS,113,1756965.46
LESCOL XL,444,1754469.289999999
LIDOCAINE HCL,4546,1745588.1099999927
CERDELGA,3,1743633.49
ELAPRASE,1,1742946.12
OXTELLAR XR,188,1728006.1599999995
EXFORGE HCT,450,1710532.960000001
FAMCICLOVIR,1571,1707288.5799999994
RIBASPHERE RIBAPAK,89,1702518.0100000002
NOVOFINE,1978,1686856.6100000027
DESLORATADINE,2152,1665890.7999999989
BUTORPHANOL TARTRATE,978,1661653.9399999988
DIBENZYLINE,11,1658672.97
TRIHEXYPHENIDYL HCL,6053,1648017.6999999958
ZOHYDRO ER,191,1647589.7400000002
BELSOMRA,387,1642909.0100000007
SPS,1281,1642267.6100000013
PLEGRIDY,24,1638194.1300000004
CLINISOL,239,1637765.6299999994
NESINA,250,1632771.1900000009
CYPROHEPTADINE HCL,2184,1631138.7000000023
BUTALB-CAFF-ACETAMINOPH-CODEIN,1159,1623899.4099999971
PINDOLOL,1221,1622602.6100000022
TEKTURNA HCT,603,1620708.3400000003
RIFAMPIN,1400,1617583.4400000023
PAZEO,317,1612752.6800000004
HYQVIA,15,1595771.2000000002
NEOMYCIN-POLYMYXIN-HYDROCORT,2638,1584500.6900000016
EPITOL,1820,1575939.1000000017
ATOVAQUONE-PROGUANIL HCL,355,1568473.4500000002
NORCO,279,1566479.0999999999
ARICEPT,246,1562494.1599999997
ZOLOFT,425,1555872.340000002
AMRIX,99,1553585.1899999995
COMETRIQ,10,1551360.3699999999
VALIUM,267,1539919.38
LAZANDA,7,1538553.6099999999
QUINAPRIL-HYDROCHLOROTHIAZIDE,2261,1536227.9500000041
TRICOR,609,1529402.8199999994
FROVA,137,1527838.490000001
CYCLOSET,169,1521010.29
DICLOFENAC SODIUM ER,2593,1515150.710000001
ETHAMBUTOL HCL,1026,1497423.860000002
LASTACAFT,430,1489001.6199999985
DEPAKOTE SPRINKLE,234,1485579.58
TERBINAFINE HCL,7049,1477412.57
NEORAL,193,1475424.1599999997
NITROGLYCERIN,402,1473613.9199999997
LANOXIN,882,1472876.7500000002
ZOVIRAX,110,1467729.77
LEVORPHANOL TARTRATE,49,1463829.31
LODOSYN,45,1446406.31
BUTALBITAL COMPOUND-CODEINE,634,1440926.9299999983
TREXIMET,125,1440096.1699999997
PERJETA,20,1438577.6800000002
IMITREX,126,1437129.2499999993
TOBI PODHALER,12,1435843.2800000003
VERAPAMIL SR,1946,1430910.0700000017
REMODULIN,5,1430411.7399999998
QNASL,418,1429143.32
APTIVUS,72,1420259.3000000007
INDERAL LA,150,1419739.9299999995
KIONEX,1122,1419486.2299999997
MS CONTIN,88,1408589.6500000004
LEVOCARNITINE,893,1408212.6499999978
LEUKERAN,194,1407030.5099999995
DAPSONE,1685,1406951.0200000012
PIPERACILLIN-TAZOBACTAM,427,1397873.85
SIMCOR,368,1394354.57
FLUVASTATIN SODIUM,667,1394149.4899999995
OXYTROL,221,1392647.6600000008
NUTROPIN AQ NUSPIN,37,1389468.2300000004
CHOLESTYRAMINE LIGHT,973,1376053.15
CLOBETASOL EMOLLIENT,438,1374150.3499999996
LEUCOVORIN CALCIUM,1103,1370933.7400000007
LUCENTIS,18,1369938.98
GAMMAGARD S-D,14,1368294.41
NEFAZODONE HCL,1019,1367429.8900000006
ALOXI,41,1360278.2899999996
ABRAXANE,15,1347334.3000000003
PULMICORT,112,1342326.9000000001
ZELAPAR,27,1340695.1400000004
ESTRADIOL-NORETHINDRONE ACETAT,630,1335806.860000001
ENULOSE,2282,1334415.2199999979
ROXICODONE,70,1320942.1300000001
ZOLINZA,12,1299560.04
VIRAMUNE XR,115,1297082.3299999998
PROPYLTHIOURACIL,1361,1291297.3900000004
PREPOPIK,450,1288950.19
PEGASYS,23,1288845.94
FORTAMET,42,1285572.61
OCTREOTIDE ACETATE,166,1280427.0299999998
MILRINONE LACTATE,42,1274406.4100000001
EPOGEN,135,1264490.3199999994
POTIGA,88,1263058.8399999999
GAVILYTE-C,1428,1261932.8900000006
APLENZIN,43,1261191.7000000002
INTRON A,49,1258271.9199999997
TRANYLCYPROMINE SULFATE,289,1256107.4599999997
PHENAZOPYRIDINE HCL,1206,1255586.3599999966
CROMOLYN SODIUM,984,1242681.0399999993
KERYDIN,67,1242658.5800000003
SYLATRON,11,1235558.05
DIFLUNISAL,604,1225109.3000000014
DIFLORASONE DIACETATE,158,1218922.6400000006
ZOCOR,329,1218608.3899999994
ERYPED 200,81,1206322.3999999994
BUTALBITAL-ASPIRIN-CAFFEINE,1098,1205778.57
ZOMIG,125,1199878.0800000003
MICARDIS,463,1197900.3999999997
ADAGEN,1,1193561.8
LEVOXYL,1567,1188021.04
BUPHENYL,8,1187388.7299999997
TERBUTALINE SULFATE,260,1168154.4399999995
PRANDIN,123,1163796.7299999993
SODIUM POLYSTYRENE SULFONATE,686,1156830.8099999982
THEO-24,658,1152008.9500000002
TYVASO,6,1147982.62
DETROL LA,328,1139881.6200000003
NEOMYCIN-POLYMYXIN-HC,1667,1137001.3199999998
FLUNISOLIDE,1018,1126345.9400000018
TRIZIVIR,51,1120908.8699999999
PERPHENAZINE-AMITRIPTYLINE,1075,1106320.2300000004
DILAUDID,153,1103512.6099999999
ERBITUX,9,1102631.74
DEXTROSE IN WATER,741,1090225.7699999996
ALINIA,50,1089329.9000000001
OXALIPLATIN,33,1086032.4899999998
ACTIQ,5,1082396.22
PANCREAZE,157,1080671.9099999997
BETIMOL,471,1079086.879999999
MINIVELLE,457,1077440.0100000005
LEVEMIR FLEXPEN,188,1076010.1199999999
PREVALITE,736,1068284.9999999993
PLAQUENIL,175,1066379.8100000008
PRED FORTE,177,1066326.3999999997
EASY TOUCH PEN NEEDLE,2027,1062298.9499999972
NAMZARIC,204,1058418.1800000002
CEFPROZIL,926,1056408.4500000004
OPIUM TINCTURE,133,1051065.9500000004
ENALAPRIL-HYDROCHLOROTHIAZIDE,4345,1046906.9100000022
KRISTALOSE,181,1043223.9399999997
LEVOBUNOLOL HCL,1736,1043133.1
NEVIRAPINE,686,1042787.1199999998
CYCLOPHOSPHAMIDE,115,1035415.2500000003
MYCAMINE,51,1035162.3099999997
SALSALATE,347,1012099.1300000005
MATZIM LA,785,1011704.479999999
ILARIS,4,1005848.5299999999
MOVANTIK,243,1001882.5899999997
AMILORIDE HCL,1440,1001228.6899999994
SIMPONI ARIA,10,998712.32
DENAVIR,80,996491.0
NICOTROL,215,989053.0000000002
KEYTRUDA,7,987800.66
TERCONAZOLE,1376,986252.0200000003
VGO 30,183,984761.1899999998
VGO 20,171,983164.71
GELNIQUE,206,982648.8099999997
CYRAMZA,9,979649.3899999999
TENORMIN,241,976137.2700000005
GENERLAC,2709,976132.2999999978
NARATRIPTAN HCL,802,974552.8600000005
PENTAZOCINE-NALOXONE HCL,331,963746.9600000003
ZOLEDRONIC ACID,98,961764.75
SSD,2021,955727.9099999989
COZAAR,519,953070.7599999999
ELELYSO,2,950881.98
CEFADROXIL,2914,950490.8300000011
CYCLOSPORINE,176,943344.3099999995
PAXIL,298,941555.6899999998
DEXEDRINE,43,940206.5900000002
HYSINGLA ER,130,936607.9900000002
DOCETAXEL,31,934921.4699999999
PROBENECID,1626,930573.8399999989
LOTREL,294,930165.1399999999
DYRENIUM,236,925199.94
SUMAVEL DOSEPRO,43,919092.5700000001
CARAC,26,912103.15
METOPROLOL-HYDROCHLOROTHIAZIDE,1210,907734.5800000007
MESALAMINE,200,906199.0800000003
NICOTROL NS,151,904114.7799999998
ACAMPROSATE CALCIUM,399,903427.1699999997
ZYLET,149,901774.5900000003
SUMATRIPTAN,214,900874.1600000001
CANCIDAS,16,900341.8400000001
ALBENZA,7,896565.3800000001
EPINASTINE HCL,541,895168.7499999994
DIPENTUM,53,886331.2999999999
POLYMYXIN B SUL-TRIMETHOPRIM,1927,875669.7999999992
ORPHENADRINE CITRATE,1396,872836.9900000019
SPORANOX,29,872252.08
NIASPAN,249,866973.0900000007
ISOSORBIDE MONONITRATE,3666,864756.0800000002
VICODIN ES,414,849109.2800000007
AVAPRO,379,845119.0500000004
FEMARA,85,843380.2100000001
MICARDIS HCT,311,841838.909999999
ERYPED 400,44,839303.57
ZIRGAN,160,831025.6400000002
EQUETRO,160,825499.3300000002
STIOLTO RESPIMAT,127,823659.1599999998
CIMETIDINE,1787,820342.1400000004
DIDANOSINE,220,820153.3700000001
MONUROL,233,818575.2299999989
ARCAPTA NEOHALER,187,817356.46
FARYDAK,8,810950.45
TRANDOLAPRIL,2507,808679.2599999993
ZYMAXID,106,801725.3300000001
ALCLOMETASONE DIPROPIONATE,428,798662.7099999995
ARESTIN,9,796724.29
CLIMARA,431,794184.62
VALTREX,128,790202.5599999999
TOBRAMYCIN,2154,789155.300000001
MEPROBAMATE,253,788124.4100000005
ACTOS,121,787115.7999999998
THEOPHYLLINE,894,786339.6300000004
COMBIPATCH,352,785382.6000000003
CANDESARTAN-HYDROCHLOROTHIAZID,572,784852.3900000001
COSOPT,226,783809.42
ERY-TAB,160,775763.6900000005
DONEPEZIL HCL ODT,1135,773590.1800000007
GENGRAF,188,769606.2499999999
PRAMIPEXOLE ER,85,768243.1199999999
ZOLMITRIPTAN,446,767037.2000000003
TACLONEX,45,766578.44
AZACITIDINE,11,766361.4500000001
BETAXOLOL HCL,533,765457.2499999991
REXULTI,59,764343.8499999999
MEPRON,30,759283.2200000001
COMBIVIR,59,754877.4799999999
CALCIPOTRIENE-BETAMETHASONE DP,65,748606.8
IMIPRAMINE PAMOATE,162,744277.3999999999
PEG-3350 AND ELECTROLYTES,1805,741166.3000000004
RYTHMOL SR,87,737802.7999999999
ETHOSUXIMIDE,372,736295.8299999998
HYDROCORTISONE BUTYRATE,274,732517.85
METHYLPHENIDATE LA,302,730845.2199999996
PROBENECID-COLCHICINE,949,725036.4399999992
ACEBUTOLOL HCL,2015,718670.1299999992
EVZIO,44,713620.4099999997
